GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2014090709,2014-09-07,2,1,57,,MIN,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2014,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014090711,2014-09-07,4,0,0,,CAR,0,0,0,,1,,0,"END GAME",0,,,2014,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014090702,2014-09-07,4,4,2,BUF,CHI,0,0,35,,1,,0,"4-J.GAY KICKS 65 YARDS FROM BUF 35 TO END ZONE, TOUCHBACK.",0,,,2014,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2014090703,2014-09-07,2,0,4,,WAS,0,0,0,,1,,0,"TIMEOUT #3 BY WAS AT 00:04.",0,,,2014,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014091100,2014-09-11,4,0,31,BAL,PIT,1,10,52,,0,,0,"(:31) 5-J.FLACCO KNEELS TO PIT 49 FOR -1 YARDS.",0,,,2014,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
2014091100,2014-09-11,4,0,0,,PIT,0,0,0,,1,,0,"END GAME",0,,,2014,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014091400,2014-09-14,3,0,0,,MIA,0,0,0,,1,,0,"END OF QUARTER - 3.25 PM",0,,,2014,0,"UNDER CENTER",EXCEPTION,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014091400,2014-09-14,3,0,0,,MIA,0,0,0,,1,,0,"END QUARTER 3",0,,,2014,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014091401,2014-09-14,3,0,0,,DET,0,0,0,,1,,0,"END QUARTER 3",0,,,2014,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014091402,2014-09-14,2,8,55,ATL,CIN,2,10,52,,0,,0,"(8:55) 2-M.RYAN SACKED AT ATL 42 FOR -10 YARDS (96-C.DUNLAP).",0,,,2014,-10,"UNDER CENTER",SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
