GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015100410,2015-10-04,4,1,17,,STL,0,0,0,,1,,0,"TIMEOUT #3 BY ARI AT 01:17.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091000,2015-09-10,2,2,0,,PIT,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091300,2015-09-13,3,4,50,,GB,0,0,0,,1,,0,"TIMEOUT AT 04:50.",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091300,2015-09-13,4,0,0,,GB,0,0,0,,1,,0,"END GAME",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091301,2015-09-13,2,2,0,,SEA,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091302,2015-09-13,1,0,0,,CAR,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091303,2015-09-13,1,9,40,WAS,MIA,1,10,74,,0,,0,"(9:40) 8-K.COUSINS SACKED AT MIA 34 FOR -8 YARDS (97-J.PHILLIPS).",0,,,2015,-8,"UNDER CENTER",SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,0,,26,OPP,0,,0,,0
2015091303,2015-09-13,4,2,22,,MIA,0,0,0,,1,,0,"TIMEOUT #1 BY WAS AT 02:22.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091304,2015-09-13,1,0,9,,IND,0,0,0,,1,,0,"TIMEOUT #2 BY BUF AT 00:09.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091304,2015-09-13,3,0,0,,IND,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091305,2015-09-13,1,0,0,,CLE,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091305,2015-09-13,3,0,0,,CLE,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091306,2015-09-13,1,0,0,,KC,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091306,2015-09-13,2,6,25,,KC,0,0,0,,1,,0,"TIMEOUT #1 BY HOU AT 06:25.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091308,2015-09-13,4,2,0,,DET,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091310,2015-09-13,1,0,0,,CIN,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091311,2015-09-13,1,0,0,,TEN,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091311,2015-09-13,2,2,0,,TEN,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091311,2015-09-13,4,7,14,,TEN,0,0,0,,1,,0,"TIMEOUT #1 BY TB AT 07:14.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091312,2015-09-13,3,1,50,DAL,NYG,2,6,12,,0,,0,"(1:50) 21-J.RANDLE RIGHT GUARD TO DAL 13 FOR 1 YARD (47-U.UNGA).",0,,,2015,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",12,OWN,0,,0,,0
2015091400,2015-09-14,2,0,0,,PHI,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091401,2015-09-14,1,0,0,,MIN,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091401,2015-09-14,3,7,33,SF,MIN,1,10,55,,0,,0,"(7:33) (SHOTGUN) 28-C.HYDE UP THE MIDDLE TO MIN 44 FOR 1 YARD (55-A.BARR).",0,,,2015,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,45,OPP,0,,0,,0
2015091700,2015-09-17,2,14,48,DEN,KC,1,10,69,,0,,0,"(14:48) (SHOTGUN) 18-P.MANNING PASS SHORT RIGHT TO 88-D.THOMAS TO KC 23 FOR 8 YARDS (56-D.JOHNSON).",0,,,2015,8,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,31,OPP,0,,0,,0
2015092000,2015-09-20,1,13,58,HOU,CAR,2,11,27,,0,,0,"(13:58) (SHOTGUN) 15-R.MALLETT PASS INCOMPLETE SHORT RIGHT TO 88-G.GRAHAM.",0,,,2015,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,27,OWN,0,,0,,0
2015092000,2015-09-20,1,0,0,,HOU,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092000,2015-09-20,2,0,19,CAR,HOU,1,10,20,,0,,0,"(:19) 35-M.TOLBERT UP THE MIDDLE TO CAR 23 FOR 3 YARDS (56-B.CUSHING).",0,,,2015,3,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,20,OWN,0,,0,,0
2015092000,2015-09-20,4,8,53,CAR,HOU,0,0,35,,1,,0,"9-G.GANO KICKS 65 YARDS FROM CAR 35 TO END ZONE, TOUCHBACK.",0,,,2015,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015092000,2015-09-20,4,1,56,,HOU,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092001,2015-09-20,1,10,3,BUF,NE,1,2,98,,1,,0,"(10:03) (SHOTGUN) 29-KA.WILLIAMS UP THE MIDDLE FOR 2 YARDS, TOUCHDOWN.",0,,,2015,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,CENTER,2,OPP,0,,0,,0
2015092001,2015-09-20,1,2,33,BUF,NE,3,10,10,,0,,0,"(2:33) (SHOTGUN) 5-T.TAYLOR SACKED AT BUF 1 FOR -9 YARDS (91-J.COLLINS).",0,,,2015,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,0,,10,OWN,0,,0,,0
2015092001,2015-09-20,4,3,24,,NE,0,0,0,,1,,0,"TIMEOUT #2 BY BUF AT 03:24.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
