GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016122408,2016-12-24,4,2,38,IND,LV,4,9,75,,0,,0,"(2:38) 4-A.VINATIERI 42 YARD FIELD GOAL IS GOOD, CENTER-45-M.OVERTON, HOLDER-1-P.MCAFEE.",0,,,2016,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
2016122408,2016-12-24,4,2,41,IND,LV,3,9,75,,0,,0,"(2:41) (SHOTGUN) 12-A.LUCK PASS INCOMPLETE SHORT MIDDLE TO 13-T.HILTON.",0,,,2016,0,SHOTGUN,PASS,0,1,1,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,25,OPP,0,,0,,0
2016122408,2016-12-24,4,3,14,IND,LV,2,10,74,,0,,0,"(3:14) (SHOTGUN) 12-A.LUCK SCRAMBLES UP THE MIDDLE TO OAK 25 FOR 1 YARD (38-T.CARRIE).",0,,,2016,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,0,,26,OPP,0,,0,,0
2016122408,2016-12-24,4,3,20,IND,LV,1,10,74,,0,,0,"(3:20) (NO HUDDLE, SHOTGUN) 12-A.LUCK PASS INCOMPLETE SHORT RIGHT TO 13-T.HILTON.",0,,,2016,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,26,OPP,0,,0,,0
2016122408,2016-12-24,4,7,40,IND,LV,0,0,98,,1,,0,"(PASS FORMATION) TWO-POINT CONVERSION ATTEMPT. 12-A.LUCK PASS TO 13-T.HILTON IS COMPLETE. ATTEMPT SUCCEEDS.",0,,,2016,0,"UNDER CENTER","TWO-POINT CONVERSION",0,0,0,0,,0,0,0,,0,0,0,0,1,1,,2,OPP,0,,0,,0
2016122408,2016-12-24,4,7,47,IND,LV,1,10,89,,1,,0,"(7:47) (SHOTGUN) 12-A.LUCK SCRAMBLES LEFT END FOR 11 YARDS, TOUCHDOWN.",0,,,2016,11,SHOTGUN,SCRAMBLE,1,0,0,1,,0,0,0,,0,0,0,0,0,0,,11,OPP,0,,0,,0
2016122408,2016-12-24,4,7,52,IND,LV,2,5,82,,0,,0,"(7:52) (NO HUDDLE, SHOTGUN) 12-A.LUCK PASS INCOMPLETE SHORT LEFT TO 80-C.ROGERS (21-S.SMITH). PENALTY ON OAK-21-S.SMITH, DEFENSIVE PASS INTERFERENCE, 7 YARDS, ENFORCED AT OAK 18 - NO PLAY.",0,,,2016,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,1,0,0,,18,OPP,1,OAK,1,"DEFENSIVE PASS INTERFERENCE",7
2016122408,2016-12-24,4,8,21,IND,LV,1,15,72,,0,,0,"(8:21) (SHOTGUN) 12-A.LUCK PASS SHORT MIDDLE TO 83-D.ALLEN TO OAK 18 FOR 10 YARDS (54-P.RILEY).",0,,,2016,10,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
2016122408,2016-12-24,4,8,50,IND,LV,1,10,77,,0,,0,"(8:50) (SHOTGUN) 12-A.LUCK PASS SHORT MIDDLE TO 80-C.ROGERS TO OAK 16 FOR 7 YARDS (20-N.ALLEN). PENALTY ON IND-80-C.ROGERS, ILLEGAL FORMATION, 5 YARDS, ENFORCED AT OAK 23 - NO PLAY.",0,,,2016,7,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,1,0,0,,23,OPP,1,IND,1,"ILLEGAL FORMATION",5
2016122408,2016-12-24,2,10,37,IND,LV,2,2,72,,1,,0,"(10:37) (SHOTGUN) 12-A.LUCK PASS SHORT RIGHT TO 84-J.DOYLE TO OAK 24 FOR 4 YARDS (52-K.MACK).",0,,,2016,4,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
2016122408,2016-12-24,2,11,16,IND,LV,1,10,64,,0,,0,"(11:16) 23-F.GORE UP THE MIDDLE TO OAK 28 FOR 8 YARDS (20-N.ALLEN).",0,,,2016,8,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,36,OPP,0,,0,,0
2016121811,2016-12-18,3,6,14,SD,LV,0,0,85,,1,,0,"2-J.LAMBO EXTRA POINT IS BLOCKED (39-K.MCGILL), CENTER-47-M.WINDT, HOLDER-10-K.CLEMENS.",0,,,2016,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2016121811,2016-12-18,3,6,19,SD,LV,1,7,93,,1,,0,"(6:19) (SHOTGUN) 17-P.RIVERS PASS SHORT LEFT TO 86-H.HENRY FOR 7 YARDS, TOUCHDOWN.",0,,,2016,7,SHOTGUN,PASS,0,1,0,1,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,7,OPP,0,,0,,0
2016121811,2016-12-18,3,7,8,SD,LV,1,10,67,,1,,0,"(7:08) (SHOTGUN) 17-P.RIVERS PASS SHORT RIGHT TO 15-D.INMAN TO OAK 7 FOR 26 YARDS (38-T.CARRIE).",0,,,2016,26,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,33,OPP,0,,0,,0
2016121811,2016-12-18,3,7,52,SD,LV,1,10,56,,1,,0,"(7:52) 17-P.RIVERS PASS SHORT LEFT TO 16-TY.WILLIAMS RAN OB AT OAK 33 FOR 11 YARDS (38-T.CARRIE).",0,,,2016,11,"UNDER CENTER",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,44,OPP,0,,0,,0
2016121811,2016-12-18,3,8,36,SD,LV,3,4,50,,1,,0,"(8:36) (SHOTGUN) 17-P.RIVERS PASS SHORT MIDDLE TO 15-D.INMAN TO OAK 44 FOR 6 YARDS (29-D.AMERSON).",0,,,2016,6,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,50,OPP,0,,0,,0
2016121811,2016-12-18,3,9,23,SD,LV,2,4,50,,0,,0,"(9:23) 36-R.HILLMAN UP THE MIDDLE TO 50 FOR NO GAIN (53-M.SMITH).",0,,,2016,0,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,50,OPP,0,,0,,0
2016121811,2016-12-18,2,1,57,SD,LV,3,7,69,,1,,0,"(1:57) (SHOTGUN) 17-P.RIVERS PASS SHORT RIGHT TO 12-T.BENJAMIN RAN OB AT OAK 22 FOR 9 YARDS (29-D.AMERSON).",0,,,2016,9,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,31,OPP,0,,0,,0
2016121811,2016-12-18,2,2,4,SD,LV,2,7,69,,0,,0,"(2:04) 17-P.RIVERS PASS INCOMPLETE DEEP MIDDLE TO 16-TY.WILLIAMS (29-D.AMERSON) [52-K.MACK].",0,,,2016,0,"UNDER CENTER",PASS,0,1,1,0,"DEEP MIDDLE",0,0,0,,0,0,0,0,0,0,,31,OPP,0,,0,,0
2016121811,2016-12-18,2,2,47,SD,LV,1,10,66,,0,,0,"(2:47) 36-R.HILLMAN LEFT GUARD TO OAK 31 FOR 3 YARDS (51-B.IRVIN).",0,,,2016,3,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",34,OPP,0,,0,,0
2016121811,2016-12-18,1,10,32,SD,LV,0,0,85,,1,,0,"2-J.LAMBO EXTRA POINT IS GOOD, CENTER-47-M.WINDT, HOLDER-10-K.CLEMENS.",0,,,2016,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2016120800,2016-12-08,4,9,0,KC,LV,1,10,50,,0,,0,"(9:00) 11-A.SMITH PASS INCOMPLETE SHORT RIGHT. A.SMITH INTENTIONALLY THREW PASS OUT OF BOUNDS.",0,,,2016,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,50,OPP,0,,0,,0
2016120800,2016-12-08,4,10,59,KC,LV,4,4,59,,0,,0,"(10:59) 2-D.COLQUITT PUNTS 28 YARDS TO OAK 13, CENTER-41-J.WINCHESTER, FAIR CATCH BY 38-T.CARRIE.",0,,,2016,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,41,OPP,0,,0,,0
2016120800,2016-12-08,4,11,5,KC,LV,3,4,59,,0,,0,"(11:05) (SHOTGUN) 11-A.SMITH PASS INCOMPLETE SHORT RIGHT TO 19-J.MACLIN (38-T.CARRIE).",0,,,2016,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,41,OPP,0,,0,,0
2016120800,2016-12-08,4,11,50,KC,LV,2,3,60,,0,,0,"(11:50) (SHOTGUN) 32-S.WARE RIGHT END TO OAK 41 FOR -1 YARDS (54-P.RILEY; 96-D.AUTRY).",0,,,2016,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT END",40,OPP,0,,0,,0
2016120800,2016-12-08,4,12,24,KC,LV,1,10,53,,0,,0,"(12:24) (SHOTGUN) 11-A.SMITH PASS SHORT RIGHT TO 32-S.WARE PUSHED OB AT OAK 40 FOR 7 YARDS (53-M.SMITH).",0,,,2016,7,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,47,OPP,0,,0,,0
2016120800,2016-12-08,3,3,11,KC,LV,4,6,53,,0,,0,"(3:11) 2-D.COLQUITT PUNTS 32 YARDS TO OAK 15, CENTER-41-J.WINCHESTER, FAIR CATCH BY 38-T.CARRIE.",0,,,2016,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,47,OPP,0,,0,,0
2016120800,2016-12-08,3,3,11,KC,LV,4,1,58,,0,,0,"(3:11) (RUN FORMATION) PENALTY ON KC-11-A.SMITH, DELAY OF GAME, 5 YARDS, ENFORCED AT OAK 42 - NO PLAY.",0,,,2016,0,"UNDER CENTER","NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,42,OPP,1,KC,1,"DELAY OF GAME",5
2016120800,2016-12-08,3,3,16,KC,LV,3,1,58,,0,,0,"(3:16) (SHOTGUN) 11-A.SMITH PASS INCOMPLETE SHORT LEFT TO 87-T.KELCE.",0,,,2016,0,SHOTGUN,PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,42,OPP,0,,0,,0
2016120800,2016-12-08,3,4,2,KC,LV,2,3,56,,0,,0,"(4:02) 32-S.WARE RIGHT END TO OAK 42 FOR 2 YARDS (95-J.WARD).",0,,,2016,2,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT END",44,OPP,0,,0,,0
2016120800,2016-12-08,2,6,25,KC,LV,0,0,50,,0,,0,"5-C.SANTOS KICKS 45 YARDS FROM 50 TO OAK 5. 22-T.JONES TO OAK 23 FOR 18 YARDS (42-A.SHERMAN). PENALTY ON OAK-57-C.JAMES, OFFENSIVE HOLDING, 8 YARDS, ENFORCED AT OAK 16. PENALTY ON OAK-56-D.BATES, DEFENSIVE OFFSIDE, DECLINED.",0,,,2016,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,50,OPP,0,OAK,0,"OFFENSIVE HOLDING",0
2016120800,2016-12-08,2,6,25,KC,LV,0,0,85,,1,,0,"5-C.SANTOS EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-2-D.COLQUITT.",0,,,2016,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2016120800,2016-12-08,2,8,34,KC,LV,0,0,85,,1,,0,"5-C.SANTOS EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-2-D.COLQUITT.",0,,,2016,0,"UNDER CENTER","EXTRA POINT",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2016120800,2016-12-08,2,8,39,KC,LV,2,3,97,,0,,0,"(8:39) 35-C.WEST LEFT GUARD FOR 3 YARDS, TOUCHDOWN. PENALTY ON OAK-51-B.IRVIN, ILLEGAL USE OF HANDS, DECLINED.",0,,,2016,3,"UNDER CENTER",RUSH,1,0,0,1,,0,0,0,,0,0,0,1,0,0,"LEFT GUARD",3,OPP,0,OAK,0,"ILLEGAL USE OF HANDS",0
2016120800,2016-12-08,2,9,20,KC,LV,1,4,96,,0,,0,"(9:20) 32-S.WARE LEFT GUARD TO OAK 3 FOR 1 YARD (52-K.MACK).",0,,,2016,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",4,OPP,0,,0,,0
2016120800,2016-12-08,2,10,3,KC,LV,1,5,80,,1,,0,"(10:03) (SHOTGUN) 11-A.SMITH PASS SHORT MIDDLE TO 10-T.HILL TO OAK 4 FOR 16 YARDS (53-M.SMITH).",0,,,2016,16,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,20,OPP,0,,0,,0
2016120800,2016-12-08,2,10,25,KC,LV,1,10,75,,0,,0,"(10:25) (RUN FORMATION) PENALTY ON OAK-51-B.IRVIN, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT OAK 25 - NO PLAY.",0,,,2016,0,"UNDER CENTER","NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,25,OPP,1,OAK,1,"DEFENSIVE OFFSIDE",5
